2019-10-31 19:51:19.726210: I tensorflow/stream_executor/platform/default/dso_loader.cc:42] Successfully opened dynamic library libcudart.so.10.0
Images= 135109 Categories= 135109
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 6}} lokesvara_lokesvara-wrist-mala-aqularia-filaria-with-gold-endless-knot-gelang---blue-coral--10-mm-_full02.jpg 0
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 6}} oceanseven_oceanseven-football-real-madrid-signature-02-dark-blue-t-shirt_full03.jpg 1
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} storkstory_stork-story-cat-short-sleepwear-697---blue_full02.jpg 2
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} 1901-jewelry-_1901-jewelry-pearly-gold-earrings-5002-gw-5002-hr52-gold-giwang-wanita_full02.jpg 3
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} banana-warehouse_banana-warehouse-733-playsuit-wanita----abu-abu_full05.jpg 4
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} a-dan_a-dan-vintage-sunglasses--uv400--lens-fashion-style-j6223_full08.jpg 5
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} carvil_carvil-spade-01l-51-spd-001-ce-sandal-wanita---stone_full02.jpg 6
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} carvil_carvil-man-rama-baju-koko-lengan-panjang-pria---blue_full02.jpg 7
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} bonia_bonia-bn10232-2562-jam-tangan-wanita-rose-gold-stainless-steel_full02.jpg 8
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} azzurra_azzurra-594-20-casual-sandal-wanita---coklat--original-_full05.jpg 9
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} fossil_fossil-original-boyfriend-chronograph-bone-es3625-jam-tangan-wanita_full04.jpg 10
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} seiko_seiko-srp775k1-original-jam-tangan-pria_full02.jpg 11
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} indoclothing_indoclothing-flume-01-topi-snapback-pria---hitam_full04.jpg 12
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 6}} minarno_minarno_cactus_sharp_jaket_hoodies_pria_full14_ltxxt2dy.jpg 13
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} tragen-footwear_tragen-footwear-alexi-sepatu-sneaker-pria---black_full05.jpg 14
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} mirage_mirage-jam-tangan-pria-jam-tangan-analog-sd303_full05.jpg 15
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 6}} ordinal_ordinal-funny-emoticon-edition-moon-05-raglan_full03.jpg 16
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} ordinal_ordinal-ultraman-04-raglan_full03.jpg 17
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} best-bag_best-bag---stuff-rookie-tas-ransel---merah_full05.jpg 18
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} cbr_six_cbr_six_tas_pinggang_pria_-_abu_-pic_003-_full05_c6l4rwu4.jpg 19
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} import_tas-ransel-waterproof-import-terbaru-cp-353-black_full05.jpg 20
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 70}} arcio_arcio-theo-tas-ransel-laptop-backpack-pria_full05.jpg 21
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} clany_clany-seamless-comfy-soft-wire-bra-with-bamboo-farbric-barbie-pink_full02.jpg 22
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} oceanseven_oceanseven-magazine-rolling-stone-magz-logo-01-t-shirt_full03.jpg 23
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} oceanseven_oceanseven-wos-superman-11-t-shirt_full04.jpg 24
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} meyfah_meyfah-athena-classic-executive-sepatu-heels-wanita---pink_full07.jpg 25
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} kuzatura_kuzatura-kfb-157-tunik-wanita---biru_full04.jpg 26
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} sfs-by-sun_sfs-by-sun-b16-chinese-style-atasan-wanita---emerald-green_full04.jpg 27
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 8}} java-seven_java-seven--r-nrjjc-gamis-wanita---brown_full02.jpg 28
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 6}} fossil_fossil-me3084-jam-tangan-pria---black_full02.jpg 29
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} mirage_mirage-8150-brp-m-japan-technology-original-date-jam-tangan-pria---black_full03.jpg 30
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 6}} westpak_westpak-gn-energetic-caps-topi-pria---navy_full04.jpg 31
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} victoire-chic_victoire-chic-02-gelang-kayu_full02.jpg 32
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} brodo_brodo-sepatu-pria-ventura-eco----black-blacksole_full05.jpg 33
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} yongki-komaladi_yongki-komaladi-gn46000094-1118-jolie-shoulder-bag-wanita--black_full02.jpg 34
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} julius_julius_ja-1181_jam_tangan_wanita_full32_od89y1vm.jpg 35
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} batik-adikusuma_adikusuma-men-hem-batik-sawat-kotak-bima-cokelat-532309108_full02.jpg 36
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} lavenia-boutique_lavenia-boutique-salwa-arena-abstrak-blouse-muslim-wanita--size-jumbo--3xl-_full07.jpg 37
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} lgs_lgs-men-regular-fit---stripe-tee---gray-white---salur-lets-223-m1550-01-7c_full01.jpg 38
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} a-d_a-d-ms-1200-basic-shirt-with-tie---white_full05.jpg 39
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} west_island_west_island_flora_earring-wi9051121_full02.jpg 40
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} luna-habit_luna-habit-grete-dress-wanita---terracotta_full02.jpg 41
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} hrcn_hrcn-evoluted-shoes-male-sepatu-pria---blue--h-5374-_full02.jpg 42
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 6}} fashion-in-frame_fashion-in-frame-half-zip-pullover-hoodie-jaket-pria---black_full05.jpg 43
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 6}} indoclothing_indoclothing-daft-punk-topi-snapback_full04.jpg 44
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} kuzatura_kuzatura-ksd-175-jaket-wanita_full04.jpg 45
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 6}} expedition_expedition-e-6747-mc-bipbu-chronograph-men-blue-dial-black-stainless-steel-strap_full04.jpg 46
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} balmer_balmer-b-7913ml-jam-tangan-couple---hitam-rosegold_full02.jpg 47
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} bonia_bonia-jam-tangan-wanita-bonia-b869-2537-black-ring-rosegold-ceramic-stainless-steel_full05.jpg 48
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} ordinal_ordinal-attack-of-titan-11-t-shirt_full03.jpg 49
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} jersi-clothing_jersi-clothing-mercedes-benz-snapback-topi-pria---marun_full02.jpg 50
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} guzzini_guzzini_m_509_-_sepatu_heels_croco_full08_t2exv0zh.jpg 51
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} gudang_fashion_gudang_fashion_fleece_jaket_hoodie_pria_full07.jpg 52
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} cut-engineer_cut-engineer-iron-shoes-safety-boots-sepatu-pria---dark-brown_full06.jpg 53
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} alphabet_ordinal-typography-love-03-biru-muda-kaos-pria_full01.jpg 54
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} orvala_orvala-genano-blue-jeans-low-cut-sneaker_full05.jpg 55
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} aily_aily-ks06-tumblr-tee-atasan-wanita---abu_full03.jpg 56
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} blythe_blythe-accessories-2229-karyz-pearl-11-hair-clip---blue_full06.jpg 57
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} alphabet_ordinal-clash-of-clans-edition-01-putih-t-shirt-pria_full01.jpg 58
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} alphabet_ordinal-death-note-02-abu-abu-t-shirt-pria_full01.jpg 59
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} seruni-batik_seruni-batik-btkv-19-02-07-arqelia-tops-atasan-wanita---white_full02.jpg 60
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} octav_octav-olivia-flats-122-a-sepatu-wanita---blue_full05.jpg 61
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} oceanseven_oceanseven-dreamy-delights-19-t-shirt_full05.jpg 62
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} alphabet_ordinal-justice-league-edition-17-biru-muda-kaos-pria_full01.jpg 63
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} tata-bali_tata-bali-shop-236-kalung-fashion-wanita_full02.jpg 64
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} saucony_saucony-eros-lace-sepatu-lari-wanita--s30002-16-_full06.jpg 65
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 75}} alphabet_ordinal-hotel-transylvania-edition-12-putih-kaos-pria_full01.jpg 66
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} alexandre-christie_alexandre-christie-2788-lh_full05.jpg 67
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} life8_life8-sport-hurrricane-sneakers-sepatu-pria--09920-_full07.jpg 68
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} ordinal_ordinal-one-piece-series-chopper-nw-01-t-shirt_full03.jpg 69
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} seyes_seyes-t-shirt-couple--s32211064--misty-navy_full05.jpg 70
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} fought-_fought-redemption-code-black-tas-ransel_full06.jpg 71
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} hrcn_hrcn-kets-casual-sepatu-sneaker-pria--9805-_full05.jpg 72
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} goodness_goodness-special-arch-mat-high-quality-synthetic-leather-out-sol-rubber-sandal-pria--ajs124s39-43-_full02.jpg 73
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} casio_casio-jam-tangan-pria-casio-g-shock-dw-5750e-1bdr-digital-watch_full02.jpg 74
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 67}} lutece_lutece-elegant-060p-dompet-wanita-kecil_full06.jpg 75
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} birdie_tas_ransel_backpack_birdie_elegante_26_full06.jpg 76
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} swatch_swatch-original-rubber-strap-unisex-suok711-ajs805d40htkn-analog-tosca_full02.jpg 77
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} seiko_seiko-chronograph-sks541-jam-tangan-pria---silver_full02.jpg 78
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} seiko_seiko-barcelona-snae93p1_full03.jpg 79
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} you-ve_you-ve-b1237-bra-pakaian-dalam-wanita_full13.jpg 80
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} cottonink_cottonink_-_space_print_nahia_full06.jpg 81
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} timberland_timberland-hollace-jam-tangan-pria--tbl15419js-03--original-_full05.jpg 82
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 70}} digitec_digitec-dd-5006l-8784-jam-tangan-wanita---hitam-biru_full02.jpg 83
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 6}} skmei_skmei-analog-jam-tangan-pria---black--1601cl-_full03.jpg 84
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 7}} a2t_a2t-skinny-jeans-at-54-celana-wanita_full02.jpg 85
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 6}} ordinal_ordinal-avenger-aou-10-t-shirt_full03.jpg 86
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} inside_inside-flats-elouise-sepatu-wanita_full23.jpg 87
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 6}} skmei_skmei_dual_time_jam_tangan_pria_-1204-_full06_tsjde8y9.jpg 88
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 69}} orange-collections_orange-collections-bbo-tab-dompet---hitam_full05.jpg 89
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} pierre-cardin_pierre-cardin-jam-tangan-pria--pc108081f05-_full02.jpg 90
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} alexandre-christie_alexandre-christie-night-vision-chronograph-dial-jam-tangan-pria--ac-9213-nm-_full12.jpg 91
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} fjallraven_go-local-surabaya---fjallraven-kanken-23510-tas-ransel---black_full02.jpg 92
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} sledgers_sledgers-godrick-sm82la77l-working-sepatu-formal-pria_full07.jpg 93
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} mark_ryden_mark_ryden_mr6810_men_long_casual_style_wallet_-_dompet_pria_full06.jpg 94
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} bluelans_bluelans-10pcs-unisex-punk-16g-stainless-steel-labret-lip-rings-spike-studs-piercing-bars-blue_full03.jpg 95
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} golfer_golfer-aj06-sepatu-flat-wanita_full05.jpg 96
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 6}} alphabet_ordinal-phineas-and-ferb-putih-kaos-pria_full01.jpg 97
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 390}} born-neo_born-neo-sepatu-formal-pria---hitam--bn-pf-0211-_full04.jpg 98
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} -x-s-m-l_xsml_-_auristela_blouse_wanita_full06.jpg 99
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} cdhjewelry_cdhjewelry-cc038-titanium-anti-karat-cincin-couple--female-7---male-9-_full02.jpg 100
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} swiss-army_swiss-army-h135d48sa3517mslm-daydate-jam-tangan-pria---silver_full02.jpg 101
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} tokopelanginicer_tokopelanginicer-dagu-mutiara-kelopak-berry-bros-wanita---coklat_full02.jpg 102
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} wallts-wallet-goods_wallts-wallet-goods-musca-panjang-dompet-pria---black_full05.jpg 103
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} syaqinah_syaqinah-sandal-wedges-wanita-053---coklat_full02.jpg 104
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 75}} emba-jeans_emba-jeans-t-shirt-niles-dark-grey-207-00612-11_full02.jpg 105
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} jfashion_jfashion-spectra-variasi-pita-tunik-kemeja-wanita---hitam_full03.jpg 106
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} azzurra_azzurra-518-18-kasual-sandal-flats-wanita---coklat_full02.jpg 107
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} indoclothing_indoclothing_love_nu-est_sweater_unisex_full05_nimcdloo.jpg 108
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} dc_dc-anvil-tx-m-shoe-ind-sepatu-sneaker-pria---indigo_full02.jpg 109
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} lgs_lgs-gambar-sablon-slim-fit-youth-t-shirt-pria---hijau--gts-870-p038-01-c-_full05.jpg 110
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 70}} indoclothing_indoclothing-roses-jaket-hoodie-unisex-_full21.jpg 111
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} dnd-execution_dnd-execution-matterhorn-celana-panjang-pria---biru_full05.jpg 112
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} fossil_fossil_jerome_bifold_flip_id_dompet_pria_-_cognac_-ml_4028222-_full04.jpg 113
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} lubrene_lubrene-amaris-l-sandal-wedges-wanita---black-red_full05.jpg 114
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} zayidan_zayidan-hafuza-gamis-muslim-baju-koko-pria_full61.jpg 115
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 6}} blxs_blxs-zette-slip-on-2-2401-22-4-7-126-sepatu-wanita_full05.jpg 116
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} fortuner_fortuner-fr-j913-ad-hitam-jam-tangan-pria_full01.jpg 117
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} seiko_seiko-sbdc031j_full02.jpg 118
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} batik-huza_batik-huza-felia-blouse-wanita---red-blue_full05.jpg 119
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} catenzo_catenzo-cecilia-casual-sandal-flat-wanita---red_full02.jpg 120
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} eabanecha_eabanecha-iris-jewel-anting-wanita_full04.jpg 121
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} raindoz_raindoz-dress-wanita-emely-rdg-083_full02.jpg 122
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} casio_casio_mtp-v005l-7b2udf_general__jam_tangan_unisex_-_white_full02_qsldbr8y.jpg 123
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} whizliz_whizliz-maddy-rhys-gold-pendant_full02.jpg 124
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 7}} synoke_synoke_jam_tangan_digital_sporty_pria_-_9628_full06.jpg 125
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} mooimom_mooimom-long-sleeves-maternity---nursing-t-shirt-dress-with-lace-baju-hamil-menyusui---black_full06.jpg 126
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 72}} digitec_digitec-dg3028tbrd-jam-tangan-pria---hitam_full04.jpg 127
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 8}} bluelans_bluelans_fashion_analog_roman_numerals_big_round_dial_quartz_men_wrist_watch_full05.jpg 128
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} elfs-shop_elfs-shop-emboss-topi-pria---abu-tua_full05.jpg 129
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} alphawear_alphawear---jaket-kulit-style-bikers---black_full05.jpg 130
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} kobucca-shop_tas-serut-paris-ransel-eiffel-love-retro-klasik-backpack-menara-perancis_full02.jpg 131
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 7}} bonia_bonia-jam-tangan-pria-bonia-bpt105c-black-brown-leather-black_full05.jpg 132
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} tokyo1_tokyo1-441449-tea-drawer-kotak-perhiasan_full02.jpg 133
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} enable-woman_enable-woman-tas-ransel-wanita-klasik-kasual---cqh105---black_full06.jpg 134
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 8}} alba_alba-aspe93x1-ladies-black-dial-black-stainless-steel-strap_full02.jpg 135
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} zayidan_zayidan-jabri-baju-muslim-koko-pria_full56.jpg 136
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} arcilo_arcilo-jaket-hoodie-pria-variation-lizarra---cream_full06.jpg 137
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 8}} elle_elle-spirit-es20094s04x-leather-strap-watches---blue_full02.jpg 138
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 6}} raindoz_raindoz-rmh324-casual-sandal-wedges-wanita_full02.jpg 139
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} swiss-army_swiss-army-dhc-full-stainless-steel-sa65411_full03.jpg 140
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} rluck8888_rluck8888-topi-baseball-super-mario---hitam_full02.jpg 141
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} iit_iit_bracelet_diamond_circle_quartz_women-s_wrist_watches_full16_hhrilxnh.jpg 142
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 6}} catenzo_catenzo-sepatu-formal-pria-ab543_full05.jpg 143
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 7}} orori_orori-oswr2451-11_full01.jpg 144
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} excellence_excellence-jam-tangan-pria---silver-8511msswh_full02.jpg 145
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} bluelans_bluelans-fashion-men-s-slim-warm-hooded-sweatshirt-hoodie-coat-jacket-outwear-sweater_full30.jpg 146
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 70}} krishnabalifs_krishnabalifs-krishna-bali-668-kalung-fashion-wanita_full02.jpg 147
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} casio_casio-original-g-shock-dw-5600bbm-2dr-jam-tangan-pria-digital_full06.jpg 148
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} biden_jam_tangan_biden_pria_fashion_mewah_mesh_waterproof_band_bisnis_full05.jpg 149
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 6}} jfr_jfr_fashion_dompet_pria_-p10-_full13_e407kjyq.jpg 150
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} blackkelly_blackkelly-dompet-tali-panjang-clutch-wanita-lba930_full04.jpg 151
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} seyes_seyes-s73114702-women-t-shirt---misty_full05.jpg 152
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 5}} curren_jam_tangan_pria_curren_8312_chrono_full04_tchi11n5.jpg 153
{u'responseHeader': {u'status': 0, u'maxErrors': 1000, u'errors': [], u'QTime': 4}} mamibelle_mamibelle-katia-basic-baju-hamil-dan-menyusui---taupe_full05.jpg 154
